Q_TotalDuration,Q1.1,Q1.1_TEXT,Q1.2,Q1.3,Q1.4,Q1.5,Q1.6,Q7.1_1,Q7.1_2,Q7.1_3,Q7.1_4,Q7.1_5,Q7.1_6,Q7.1_7,Q7.1_8,Q7.2_1,Q7.2_2,Q7.2_3,Q7.2_4,Q7.2_5,Q7.2_6,Q7.2_7,Q7.2_8,Q14.1,Q14.2,Q14.3,Q14.4_1,Q14.4_2,Q14.4_3,Q14.4_4,Q14.4_5,Q14.4_6,Q14.4_7,Q14.5_1,Q14.5_2,Q14.5_3,Q14.5_4,Q14.5_5,Q14.5_6,Q14.5_7,Q14.5_8,Q14.5_9,Q14.5_10,Q15.1,Cluster_3
2203,2, ,3,3,7,5,4,1,1,1,1,1,1,1,2,45,41,48,39,35,34,43,33,2,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
8856,1, ,3,1,5,5,5,1,1,1,1,1,1,1,2,-1,-50,21,-20,20,-1,34,50,1,4,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,3
979,2, ,3,1,3,5,2,2,2,2,2,2,2,2,2,32,17,23,10,29,15,39,21,2,3,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,3
452,2, ,5,3,6,5,5,2,2,2,2,1,2,1,2,31,37,46,25,20,22,11,42,1,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
678,2, ,2,1,3,4,1,2,1,1,1,1,1,1,2,-48,-8,-23,-24,-28,20,5,5,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,3
1238,2, ,3,1,5,5,2,1,1,1,1,1,1,1,2,-18,-50,29,-50,49,50,50,-50,1,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3
389,2, ,3,1,5,5,4,2,2,2,2,2,2,2,2,33,25,20,37,41,45,31,27,2,4,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
1520,2, ,3,1,5,4,2,2,2,1,1,1,1,1,2,40,20,0,20,40,50,0,20,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1213,2, ,4,3,6,5,4,1,1,1,1,1,1,1,2,6,11,8,22,15,27,10,-12,2,4,3,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,3
420,2, ,2,1,3,4,3,2,2,2,2,2,2,2,2,20,24,33,29,23,27,32,28,2,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1
1931,2, ,3,2,4,4,2,2,1,2,2,1,1,1,2,30,25,25,25,17,48,26,10,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
640,1, ,2,2,3,5,1,2,1,2,2,1,1,1,2,9,23,-6,26,22,14,-15,-9,1,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3
850,2, ,2,2,5,5,2,2,2,1,1,1,1,2,2,9,26,-11,37,28,41,-19,-2,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2
1135,2, ,3,2,3,5,2,2,2,1,1,1,1,2,2,50,27,-27,50,37,47,39,19,2,4,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2
1818,2, ,2,1,3,4,2,2,2,2,1,1,1,2,2,17,26,-15,36,34,34,6,7,2,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2
758,2, ,2,2,3,4,2,1,1,1,1,1,1,1,2,42,-18,28,24,27,11,27,30,1,4,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3
935,2, ,2,2,3,4,2,2,2,2,2,2,1,2,2,40,42,2,15,40,50,2,4,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2
1474,2, ,2,1,3,4,1,2,2,1,1,1,1,1,2,-20,18,-21,32,44,46,1,-16,3,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,2
553,2, ,3,2,5,5,5,1,2,1,1,2,1,1,2,32,32,32,32,32,33,32,32,1,5,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,1
1118,2, ,5,1,2,5,4,1,1,1,1,1,1,1,2,15,29,30,29,30,33,32,33,1,4,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,1
1380,2, ,4,1,5,6,1,2,2,1,1,2,2,1,2,-50,50,-50,49,50,48,-50,-33,2,3,3,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,4,2
4908,2, ,5,3,3,5,5,2,2,1,1,2,1,1,2,12,-14,-28,35,-11,-16,29,23,1,4,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,3
948,1, ,6,3,3,5,4,2,2,1,1,1,1,1,2,-14,24,4,14,13,19,-25,-5,2,4,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,3
